Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Super Face Mask,Too Faced,Concealer,Occasional,71.83,1.8,870,200ml,Oily,Male,Tube,Hyaluronic Acid,True,France
Divine Cleanser,KVD Beauty,Exfoliator,Weekly,48.37,2.8,5551,250ml,Combination,Female,Stick,Hyaluronic Acid,True,UK
Super Highlighter,Rare Beauty,BB Cream,Monthly,130.52,1.3,662,250ml,Combination,Female,Spray,Vitamin C,True,South Korea
Perfect Mascara,Perricone MD,Cleanser,Monthly,24.44,2.6,5826,200ml,Dry,Unisex,Spray,Vitamin C,False,South Korea
Ultra Eyeliner,Kiehl’s,Lip Gloss,Monthly,136.35,2.1,9142,250ml,Normal,Unisex,Jar,Aloe Vera,False,Germany
Super Face Oil,Kiehl’s,Lip Gloss,Monthly,21.42,4.3,461,50ml,Combination,Unisex,Stick,Salicylic Acid,False,Italy
Divine Primer,Hourglass,Face Oil,Daily,18.3,1.5,7630,250ml,Combination,Unisex,Compact,Retinol,True,Italy
Perfect BB Cream,Patrick Ta,Mascara,Occasional,53.85,1.7,5979,30ml,Normal,Unisex,Stick,Aloe Vera,True,South Korea
Perfect Lip Liner,Hourglass,Setting Spray,Weekly,51.03,4.0,3838,150ml,Dry,Unisex,Jar,Hyaluronic Acid,True,Germany
Divine Setting Spray,Juvia’s Place,Serum,Occasional,15.99,3.3,6559,200ml,Combination,Female,Compact,Glycerin,False,Australia
Magic Lip Liner,NARS,CC Cream,Weekly,100.05,1.1,743,50ml,Dry,Male,Spray,Hyaluronic Acid,False,Germany
Super Mascara,Hourglass,Lip Gloss,Occasional,95.4,4.0,2192,150ml,Oily,Male,Bottle,Glycerin,False,South Korea
Ultra Cleanser,NARS,Powder,Occasional,52.06,3.7,8047,50ml,Combination,Female,Tube,Aloe Vera,False,Japan
Magic Highlighter,Charlotte Tilbury,Mascara,Daily,110.71,2.2,5384,50ml,Dry,Unisex,Compact,Retinol,False,Australia
Perfect Foundation,Fenty Beauty,Moisturizer,Occasional,31.89,3.2,6463,250ml,Normal,Female,Spray,Salicylic Acid,False,Germany
Divine Cleanser,Tarte,Bronzer,Monthly,58.92,4.2,3820,30ml,Combination,Unisex,Tube,Glycerin,False,UK
Super Highlighter,Pat McGrath Labs,Exfoliator,Daily,54.65,4.9,7666,200ml,Oily,Female,Tube,Glycerin,False,UK
Perfect Highlighter,Perricone MD,Cleanser,Daily,148.17,2.0,6541,50ml,Combination,Unisex,Bottle,Hyaluronic Acid,True,South Korea
Perfect Lip Gloss,Ilia Beauty,Foundation,Monthly,119.22,2.8,8082,250ml,Normal,Unisex,Stick,Hyaluronic Acid,True,France
Divine CC Cream,Tarte,Eye Shadow,Daily,143.59,1.2,9635,50ml,Combination,Female,Jar,Shea Butter,False,South Korea
Divine Eye Shadow,ColourPop,Lip Gloss,Occasional,116.47,3.6,9048,200ml,Combination,Female,Bottle,Retinol,True,UK
Ultra Eye Shadow,Kiehl’s,Blush,Weekly,35.66,2.7,3081,100ml,Normal,Male,Jar,Glycerin,False,Italy
Perfect Primer,Juvia’s Place,Mascara,Weekly,37.4,2.6,5029,250ml,Sensitive,Female,Bottle,Retinol,False,Germany
Super Contour,Glossier,Makeup Remover,Occasional,144.29,3.0,1718,200ml,Combination,Male,Compact,Vitamin C,False,USA
Perfect Contour,Sisley,Blush,Weekly,104.34,1.9,401,30ml,Sensitive,Male,Jar,Shea Butter,False,Australia
Magic Cleanser,Anastasia Beverly Hills,Concealer,Monthly,84.07,3.8,3362,100ml,Dry,Female,Spray,Shea Butter,True,South Korea
Ultra Mascara,Tatcha,Bronzer,Weekly,104.9,4.5,6379,100ml,Normal,Female,Tube,Shea Butter,False,USA
Super BB Cream,Shiseido,Concealer,Daily,131.63,3.6,9990,150ml,Dry,Female,Spray,Shea Butter,False,South Korea
Super Setting Spray,Perricone MD,Foundation,Occasional,114.6,2.4,991,200ml,Normal,Unisex,Jar,Salicylic Acid,True,South Korea
Perfect Lipstick,Tarte,Face Mask,Monthly,40.81,3.8,8723,100ml,Combination,Unisex,Tube,Hyaluronic Acid,False,Italy
Ultra Lipstick,Huda Beauty,Bronzer,Weekly,11.44,1.8,3305,250ml,Normal,Male,Jar,Salicylic Acid,True,Germany
Magic Eye Shadow,KVD Beauty,CC Cream,Weekly,127.76,2.3,8587,100ml,Normal,Female,Stick,Hyaluronic Acid,False,Australia
Ultra Blush,IT Cosmetics,Lipstick,Occasional,76.92,1.3,9889,250ml,Dry,Male,Jar,Shea Butter,True,South Korea
Ultra Blush,E.l.f.,Eye Shadow,Monthly,120.91,3.2,5159,50ml,Dry,Unisex,Spray,Vitamin C,True,UK
Super Primer,Farsali,Lipstick,Daily,67.32,1.5,6102,100ml,Combination,Female,Spray,Vitamin C,True,France
Ultra BB Cream,Kylie Cosmetics,Contour,Weekly,87.39,2.6,4846,30ml,Dry,Male,Bottle,Salicylic Acid,False,USA
Super Face Mask,Charlotte Tilbury,Cleanser,Daily,85.83,4.6,8613,50ml,Dry,Male,Compact,Salicylic Acid,True,Japan
Perfect Powder,Shiseido,Highlighter,Weekly,47.15,4.1,6406,100ml,Combination,Unisex,Bottle,Vitamin C,False,USA
Divine Bronzer,Farsali,Foundation,Occasional,103.0,5.0,9904,30ml,Dry,Unisex,Stick,Vitamin C,True,Australia
Magic Setting Spray,Clinique,Serum,Occasional,113.65,2.3,3028,50ml,Normal,Unisex,Stick,Retinol,True,Australia
Ultra Makeup Remover,Anastasia Beverly Hills,Blush,Occasional,96.37,2.2,776,50ml,Dry,Male,Tube,Salicylic Acid,False,Italy
Super BB Cream,Bobby Brown,Eyeliner,Weekly,70.72,1.6,8753,250ml,Combination,Unisex,Spray,Glycerin,True,USA
Divine Primer,E.l.f.,Concealer,Monthly,114.3,2.7,3174,200ml,Oily,Unisex,Bottle,Retinol,False,Italy
Magic Blush,Kylie Cosmetics,Highlighter,Occasional,55.93,3.3,8919,250ml,Dry,Female,Compact,Hyaluronic Acid,False,Australia
Divine Lip Gloss,Kylie Cosmetics,Foundation,Monthly,134.96,4.7,5283,200ml,Dry,Male,Tube,Aloe Vera,False,UK
Ultra Bronzer,Juvia’s Place,Lip Liner,Occasional,43.32,1.7,1448,30ml,Sensitive,Female,Stick,Hyaluronic Acid,False,South Korea
Magic Bronzer,Bobby Brown,Moisturizer,Weekly,40.31,4.9,7779,30ml,Oily,Female,Stick,Glycerin,True,USA
Magic Mascara,Farsali,Lipstick,Occasional,31.57,4.0,6269,250ml,Oily,Female,Jar,Hyaluronic Acid,True,Japan
Magic Blush,Kylie Cosmetics,Contour,Occasional,96.34,3.9,8488,150ml,Oily,Female,Jar,Shea Butter,True,Australia
Perfect Serum,Make Up For Ever,Primer,Monthly,101.91,1.9,4422,30ml,Combination,Male,Compact,Retinol,True,USA
Divine Mascara,Make Up For Ever,Face Oil,Occasional,10.2,1.8,7814,100ml,Combination,Unisex,Tube,Shea Butter,True,Italy
Super Lip Gloss,Drunk Elephant,Primer,Weekly,63.5,3.2,4547,250ml,Dry,Female,Stick,Shea Butter,True,Japan
Perfect Eye Shadow,Bobby Brown,Eyeliner,Daily,119.63,2.2,3089,250ml,Normal,Male,Bottle,Hyaluronic Acid,False,USA
Divine Highlighter,Yves Saint Laurent,BB Cream,Daily,147.67,1.0,9889,150ml,Sensitive,Female,Stick,Glycerin,True,Japan
Ultra Serum,Juvia’s Place,Eyeliner,Monthly,70.24,2.4,5240,150ml,Sensitive,Unisex,Spray,Shea Butter,True,USA
Super Blush,Becca,Face Oil,Daily,86.98,1.8,8258,50ml,Dry,Unisex,Tube,Glycerin,False,USA
Super Lip Liner,Becca,CC Cream,Daily,145.28,4.7,766,30ml,Oily,Female,Spray,Retinol,True,Italy
Super Setting Spray,Milk Makeup,Eye Shadow,Occasional,63.09,1.3,8611,100ml,Dry,Unisex,Stick,Aloe Vera,True,France
Divine BB Cream,Shiseido,Primer,Weekly,86.62,4.3,6736,50ml,Combination,Unisex,Bottle,Retinol,False,Germany
Super Face Oil,Hourglass,Powder,Occasional,107.2,4.6,9835,100ml,Oily,Male,Bottle,Salicylic Acid,True,UK
Super Contour,Kylie Cosmetics,Concealer,Daily,107.24,4.4,3865,150ml,Oily,Female,Compact,Glycerin,False,South Korea
Super Bronzer,Huda Beauty,Mascara,Occasional,86.57,1.2,5072,200ml,Oily,Female,Bottle,Glycerin,True,Italy
Divine Eye Shadow,Bite Beauty,Serum,Monthly,106.8,3.5,8552,200ml,Sensitive,Unisex,Compact,Retinol,True,France
Divine BB Cream,Clinique,Lip Liner,Occasional,57.84,4.3,9804,30ml,Sensitive,Female,Tube,Hyaluronic Acid,True,Italy
Divine Lipstick,NARS,Cleanser,Weekly,79.2,4.5,7625,30ml,Dry,Male,Tube,Glycerin,True,Japan
Super Face Oil,NARS,Powder,Occasional,95.98,1.3,8285,100ml,Oily,Unisex,Bottle,Retinol,False,Germany
Divine Primer,Kylie Cosmetics,Face Oil,Weekly,91.97,4.5,4038,50ml,Oily,Unisex,Stick,Glycerin,True,Italy
Divine CC Cream,Patrick Ta,Mascara,Occasional,126.27,1.5,5729,250ml,Normal,Male,Tube,Glycerin,False,Germany
Magic Mascara,Make Up For Ever,Mascara,Weekly,148.03,1.8,855,50ml,Sensitive,Female,Bottle,Salicylic Acid,False,Germany
Magic Moisturizer,RMS Beauty,Serum,Daily,18.16,3.5,7572,50ml,Dry,Male,Bottle,Shea Butter,False,Australia
Ultra BB Cream,RMS Beauty,Face Oil,Monthly,148.16,2.9,4420,50ml,Combination,Unisex,Spray,Glycerin,True,Italy
Divine Mascara,Bobby Brown,Highlighter,Monthly,68.59,3.3,3530,100ml,Oily,Female,Stick,Aloe Vera,False,USA
Magic Powder,Juvia’s Place,Concealer,Weekly,101.28,4.2,6529,50ml,Dry,Male,Jar,Aloe Vera,True,France
Magic BB Cream,Fenty Beauty,Contour,Monthly,85.46,3.7,5907,100ml,Oily,Unisex,Jar,Retinol,True,South Korea
Super Mascara,Morphe,Eyeliner,Monthly,108.6,2.7,4371,50ml,Dry,Male,Stick,Glycerin,False,Italy
Magic Exfoliator,Kylie Cosmetics,Foundation,Occasional,33.72,4.4,1242,200ml,Sensitive,Male,Compact,Glycerin,False,Italy
Ultra BB Cream,Becca,Lipstick,Monthly,17.88,2.8,1262,30ml,Sensitive,Unisex,Stick,Salicylic Acid,True,France
Ultra Eyeliner,Fenty Beauty,Eye Shadow,Monthly,57.37,4.6,3254,30ml,Combination,Unisex,Bottle,Aloe Vera,False,France
Magic Face Mask,Yves Saint Laurent,Cleanser,Monthly,90.53,2.6,2864,150ml,Combination,Male,Bottle,Hyaluronic Acid,True,Australia
Divine Primer,IT Cosmetics,Face Oil,Monthly,141.54,4.7,1433,150ml,Combination,Unisex,Tube,Salicylic Acid,True,France
Super Blush,Natasha Denona,Eye Shadow,Monthly,54.79,1.1,7425,50ml,Normal,Unisex,Compact,Hyaluronic Acid,True,Germany
Ultra Concealer,Natasha Denona,Moisturizer,Monthly,51.94,1.5,2735,50ml,Normal,Unisex,Stick,Retinol,False,South Korea
Perfect Face Oil,E.l.f.,Foundation,Daily,74.3,1.7,9875,30ml,Oily,Unisex,Spray,Vitamin C,True,Australia
Ultra Moisturizer,RMS Beauty,Lip Gloss,Daily,22.41,4.0,7505,150ml,Normal,Female,Tube,Retinol,False,Australia
Ultra Foundation,Kylie Cosmetics,Blush,Occasional,115.5,1.5,6391,50ml,Oily,Female,Bottle,Aloe Vera,True,Australia
Divine Lipstick,Huda Beauty,Foundation,Daily,72.31,2.7,6582,200ml,Oily,Unisex,Stick,Glycerin,False,Italy
Perfect Concealer,Farsali,Eyeliner,Daily,116.87,4.0,774,100ml,Dry,Female,Stick,Shea Butter,False,France
Perfect Lip Liner,Morphe,Lipstick,Monthly,23.24,2.9,7651,150ml,Normal,Female,Tube,Hyaluronic Acid,False,Japan
Ultra Setting Spray,E.l.f.,Foundation,Occasional,52.39,2.8,1733,200ml,Oily,Unisex,Spray,Salicylic Acid,True,South Korea
Magic Cleanser,Juvia’s Place,Lipstick,Occasional,77.73,4.3,6990,30ml,Normal,Female,Compact,Vitamin C,False,Australia
Ultra Contour,RMS Beauty,Face Mask,Occasional,11.07,2.6,6608,250ml,Normal,Female,Compact,Glycerin,True,France
Super Serum,Huda Beauty,Lipstick,Monthly,79.14,4.6,4266,200ml,Sensitive,Female,Jar,Shea Butter,False,USA
Magic Lip Liner,NARS,Cleanser,Monthly,37.65,3.1,4615,50ml,Sensitive,Unisex,Spray,Vitamin C,True,South Korea
Perfect Makeup Remover,Shiseido,CC Cream,Monthly,31.52,1.5,1882,250ml,Normal,Male,Compact,Salicylic Acid,False,USA
Perfect Concealer,Tatcha,Face Mask,Occasional,85.74,2.8,9124,200ml,Combination,Unisex,Compact,Vitamin C,False,Australia
Divine Foundation,Bite Beauty,Bronzer,Daily,32.99,4.4,5787,200ml,Oily,Female,Stick,Salicylic Acid,False,Italy
Ultra CC Cream,Anastasia Beverly Hills,BB Cream,Monthly,119.6,4.5,2812,200ml,Oily,Female,Spray,Hyaluronic Acid,False,USA
Magic Foundation,RMS Beauty,Bronzer,Occasional,120.89,2.9,2995,50ml,Oily,Unisex,Tube,Vitamin C,False,Australia
Perfect Blush,Clinique,Powder,Monthly,136.64,2.3,9817,100ml,Sensitive,Male,Tube,Aloe Vera,True,UK
Super Lip Gloss,Sisley,BB Cream,Occasional,105.97,3.8,6705,150ml,Oily,Female,Spray,Aloe Vera,True,Italy
Super Blush,Anastasia Beverly Hills,Foundation,Daily,142.12,3.4,9423,250ml,Dry,Female,Tube,Retinol,True,Australia
Perfect Eye Shadow,Glossier,Setting Spray,Monthly,103.69,4.8,6741,150ml,Dry,Male,Compact,Vitamin C,True,USA
Perfect Powder,Yves Saint Laurent,Highlighter,Monthly,79.97,1.8,8236,250ml,Normal,Unisex,Bottle,Glycerin,False,UK
Ultra Blush,Huda Beauty,Moisturizer,Monthly,44.62,4.1,7991,200ml,Oily,Female,Bottle,Shea Butter,True,UK
Divine Primer,Becca,Eyeliner,Daily,136.24,4.7,1645,50ml,Oily,Male,Stick,Glycerin,False,Italy
Perfect Highlighter,Morphe,Eyeliner,Occasional,146.43,3.4,946,250ml,Sensitive,Unisex,Tube,Glycerin,True,Japan
Perfect Eyeliner,ColourPop,Concealer,Daily,129.74,2.0,2946,250ml,Normal,Unisex,Spray,Retinol,True,USA
Ultra Cleanser,Bobby Brown,Foundation,Daily,73.44,2.0,3142,50ml,Combination,Unisex,Compact,Salicylic Acid,True,South Korea
Perfect Makeup Remover,RMS Beauty,Lip Liner,Daily,60.46,3.5,4261,100ml,Combination,Female,Bottle,Aloe Vera,True,France
Divine BB Cream,Pat McGrath Labs,Powder,Occasional,42.04,2.4,3548,200ml,Combination,Unisex,Jar,Salicylic Acid,True,France
Divine Bronzer,Juvia’s Place,Setting Spray,Daily,38.4,4.6,5068,250ml,Oily,Male,Spray,Hyaluronic Acid,False,UK
Super Lip Liner,Kiehl’s,Cleanser,Daily,108.54,4.8,999,150ml,Normal,Unisex,Bottle,Salicylic Acid,True,Australia
Super Foundation,NARS,Face Mask,Weekly,25.85,3.8,5070,200ml,Combination,Female,Jar,Vitamin C,False,Australia
Divine Exfoliator,Danessa Myricks,Contour,Monthly,142.82,2.5,9883,100ml,Sensitive,Female,Spray,Hyaluronic Acid,True,Japan
Perfect BB Cream,Sisley,Eye Shadow,Occasional,142.43,4.6,2351,150ml,Normal,Male,Spray,Shea Butter,True,USA
Ultra Serum,Perricone MD,Setting Spray,Monthly,109.25,4.2,3562,50ml,Normal,Male,Bottle,Aloe Vera,True,Germany
Divine Serum,NARS,CC Cream,Daily,63.82,2.1,1558,150ml,Dry,Male,Tube,Vitamin C,False,South Korea
Divine Highlighter,Anastasia Beverly Hills,Eyeliner,Occasional,96.57,1.6,4649,50ml,Combination,Female,Stick,Shea Butter,False,Australia
Ultra Highlighter,Glossier,Makeup Remover,Weekly,81.47,3.5,7022,150ml,Sensitive,Male,Compact,Vitamin C,True,South Korea
Magic Serum,Tarte,Eyeliner,Occasional,65.82,1.3,5002,250ml,Oily,Female,Compact,Hyaluronic Acid,False,South Korea
Perfect Powder,Laura Mercier,Contour,Occasional,64.75,3.5,1783,150ml,Oily,Unisex,Spray,Hyaluronic Acid,True,Japan
Super Cleanser,Bourjois,CC Cream,Occasional,65.16,3.9,6707,100ml,Oily,Female,Stick,Salicylic Acid,False,Australia
Divine Concealer,Milk Makeup,Foundation,Occasional,132.63,4.7,6350,50ml,Combination,Unisex,Tube,Hyaluronic Acid,False,Italy
Ultra BB Cream,Shiseido,Cleanser,Daily,35.49,1.4,3418,100ml,Combination,Female,Compact,Vitamin C,False,USA
Magic Concealer,Yves Saint Laurent,Exfoliator,Weekly,104.76,2.5,5584,150ml,Normal,Male,Stick,Aloe Vera,True,UK
Divine Primer,Morphe,CC Cream,Daily,126.62,3.1,228,150ml,Dry,Unisex,Jar,Hyaluronic Acid,True,Italy
Divine Highlighter,E.l.f.,Concealer,Weekly,102.31,4.8,3220,150ml,Oily,Female,Bottle,Glycerin,True,South Korea
Perfect CC Cream,NARS,Bronzer,Monthly,45.99,2.5,4133,100ml,Combination,Unisex,Bottle,Salicylic Acid,True,South Korea
Divine BB Cream,Laura Mercier,Foundation,Monthly,103.16,2.4,1202,150ml,Sensitive,Unisex,Jar,Retinol,True,Australia
Perfect Eyeliner,Rare Beauty,Powder,Monthly,32.02,4.8,6744,30ml,Combination,Male,Compact,Vitamin C,False,UK
Perfect Contour,Natasha Denona,Contour,Daily,109.15,2.5,8361,200ml,Sensitive,Female,Tube,Salicylic Acid,True,Japan
Super BB Cream,Huda Beauty,Primer,Monthly,57.36,3.8,3738,50ml,Sensitive,Male,Tube,Shea Butter,True,Australia
Ultra Concealer,Patrick Ta,Moisturizer,Monthly,121.9,1.7,6124,30ml,Combination,Unisex,Stick,Vitamin C,True,Germany
Magic Bronzer,Ilia Beauty,Highlighter,Weekly,135.32,1.1,2457,30ml,Normal,Female,Bottle,Aloe Vera,False,USA
Super Contour,Laura Mercier,Cleanser,Occasional,94.19,3.9,6048,50ml,Oily,Male,Compact,Hyaluronic Acid,True,Italy
Ultra Primer,Yves Saint Laurent,Makeup Remover,Daily,141.56,1.6,1947,200ml,Dry,Female,Jar,Hyaluronic Acid,True,Australia
Divine Face Mask,Becca,Setting Spray,Daily,20.84,4.0,5919,50ml,Oily,Male,Jar,Vitamin C,False,Japan
Ultra Face Oil,Shiseido,Primer,Monthly,19.66,2.2,9700,100ml,Dry,Unisex,Bottle,Hyaluronic Acid,True,Australia
Divine Lip Gloss,Juvia’s Place,Cleanser,Occasional,137.69,3.5,5234,250ml,Combination,Male,Jar,Salicylic Acid,False,Australia
Magic Lip Gloss,Becca,Contour,Weekly,68.32,1.6,499,150ml,Oily,Female,Compact,Vitamin C,False,USA
Ultra CC Cream,Hourglass,Highlighter,Weekly,25.07,1.3,1556,250ml,Combination,Unisex,Jar,Glycerin,False,Japan
Magic Lip Liner,Ilia Beauty,Face Oil,Daily,110.26,1.0,1018,100ml,Dry,Female,Tube,Hyaluronic Acid,True,Italy
Divine CC Cream,Bobby Brown,Face Mask,Occasional,74.56,1.2,8198,150ml,Combination,Unisex,Spray,Glycerin,True,Germany
Divine Foundation,Patrick Ta,Cleanser,Daily,92.06,1.9,1332,30ml,Sensitive,Male,Tube,Salicylic Acid,False,Italy
Magic Serum,ColourPop,Highlighter,Weekly,96.46,4.4,3308,250ml,Oily,Unisex,Compact,Shea Butter,True,South Korea
Divine Serum,KVD Beauty,Lipstick,Daily,18.93,3.1,6253,50ml,Normal,Unisex,Spray,Salicylic Acid,True,USA
Divine Lip Gloss,Juvia’s Place,Mascara,Occasional,64.03,2.5,9528,200ml,Sensitive,Male,Spray,Shea Butter,True,Japan
Magic Lipstick,Drunk Elephant,Lip Gloss,Weekly,48.94,1.7,9317,50ml,Sensitive,Unisex,Stick,Retinol,True,Italy
Ultra Lipstick,Glossier,Mascara,Monthly,87.32,2.3,9796,200ml,Normal,Unisex,Compact,Hyaluronic Acid,True,Germany
Ultra Blush,Laura Mercier,Makeup Remover,Monthly,67.11,3.6,9943,150ml,Combination,Unisex,Jar,Aloe Vera,False,UK
Ultra BB Cream,Tatcha,Face Mask,Daily,126.39,4.2,5702,30ml,Combination,Male,Spray,Aloe Vera,True,South Korea
Magic Face Mask,Perricone MD,Face Oil,Monthly,32.63,1.3,3151,150ml,Normal,Unisex,Compact,Glycerin,True,Japan
Divine Moisturizer,Danessa Myricks,Highlighter,Daily,106.19,1.1,1641,50ml,Dry,Unisex,Stick,Aloe Vera,False,USA
Super Primer,Fenty Beauty,CC Cream,Monthly,58.78,1.5,6828,150ml,Oily,Male,Compact,Shea Butter,False,Australia
Super CC Cream,Kiehl’s,Powder,Occasional,26.93,3.7,7245,30ml,Oily,Male,Tube,Hyaluronic Acid,False,Australia
Super Face Oil,Bite Beauty,Makeup Remover,Weekly,86.84,2.7,8121,200ml,Combination,Female,Spray,Glycerin,True,Australia
Magic Face Oil,RMS Beauty,Lip Liner,Occasional,39.89,1.2,7009,30ml,Dry,Unisex,Stick,Vitamin C,False,France
Ultra Concealer,Becca,Highlighter,Weekly,107.98,4.5,8426,100ml,Sensitive,Unisex,Bottle,Shea Butter,False,UK
Ultra Lip Liner,Too Faced,Moisturizer,Weekly,82.61,4.7,1095,150ml,Combination,Female,Tube,Vitamin C,True,Japan
Super CC Cream,Ilia Beauty,Blush,Weekly,123.56,3.1,9117,100ml,Dry,Female,Tube,Salicylic Acid,False,South Korea
Magic Powder,Perricone MD,Concealer,Weekly,62.36,1.1,9612,200ml,Sensitive,Female,Compact,Glycerin,True,Italy
Divine Setting Spray,Morphe,Foundation,Monthly,144.37,3.8,6481,250ml,Dry,Female,Jar,Shea Butter,True,France
Divine Highlighter,Juvia’s Place,Eyeliner,Weekly,86.6,1.2,3279,150ml,Normal,Unisex,Jar,Aloe Vera,True,Germany
Divine CC Cream,Clinique,Concealer,Weekly,20.52,1.3,6202,250ml,Sensitive,Male,Stick,Salicylic Acid,True,Australia
Perfect CC Cream,Perricone MD,CC Cream,Monthly,126.55,2.9,7858,30ml,Normal,Female,Bottle,Vitamin C,True,Japan
Perfect Lipstick,Danessa Myricks,Powder,Occasional,67.49,3.6,7961,100ml,Combination,Female,Stick,Shea Butter,False,France
Super Moisturizer,Charlotte Tilbury,Setting Spray,Weekly,56.61,3.0,9695,200ml,Sensitive,Unisex,Bottle,Retinol,True,UK
Magic Powder,ColourPop,Lip Gloss,Weekly,33.02,1.3,9341,200ml,Oily,Unisex,Spray,Retinol,False,France
Divine Cleanser,Becca,Face Mask,Monthly,63.63,4.5,6366,100ml,Combination,Unisex,Tube,Glycerin,True,Germany
Perfect Cleanser,Bourjois,Foundation,Daily,60.11,2.6,6222,150ml,Sensitive,Unisex,Bottle,Retinol,False,Italy
Super Setting Spray,IT Cosmetics,Lip Liner,Monthly,13.48,2.5,1724,150ml,Sensitive,Unisex,Tube,Vitamin C,False,Germany
Perfect Setting Spray,Kylie Cosmetics,Mascara,Daily,24.25,4.4,1836,100ml,Normal,Male,Stick,Glycerin,False,Australia
Super Lip Gloss,Perricone MD,Face Mask,Daily,47.15,1.1,2696,100ml,Sensitive,Female,Tube,Salicylic Acid,False,Japan
Magic Face Mask,Make Up For Ever,Cleanser,Daily,62.29,4.8,1078,30ml,Sensitive,Unisex,Tube,Glycerin,False,Germany
Super Contour,Make Up For Ever,Eye Shadow,Occasional,28.98,3.3,4397,30ml,Sensitive,Male,Tube,Retinol,False,Italy
Super Primer,Fenty Beauty,Lip Gloss,Occasional,76.67,4.7,2896,250ml,Normal,Male,Stick,Glycerin,True,Japan
Divine Eyeliner,Laura Mercier,Eye Shadow,Weekly,95.91,3.9,3941,100ml,Dry,Female,Tube,Glycerin,False,Italy
Magic Powder,Pat McGrath Labs,Highlighter,Monthly,67.95,2.0,853,200ml,Sensitive,Female,Compact,Aloe Vera,True,Germany
Perfect Makeup Remover,Shiseido,Face Mask,Weekly,90.85,4.1,147,150ml,Combination,Male,Compact,Vitamin C,True,Australia
Perfect Exfoliator,IT Cosmetics,Powder,Occasional,34.58,1.6,7972,30ml,Oily,Male,Bottle,Salicylic Acid,True,France
Super Exfoliator,Bobby Brown,Primer,Monthly,11.82,4.9,499,50ml,Oily,Female,Jar,Shea Butter,False,UK
Divine Setting Spray,Patrick Ta,Cleanser,Monthly,38.81,1.1,6897,250ml,Sensitive,Unisex,Stick,Glycerin,True,Japan
Divine CC Cream,Laura Mercier,Face Oil,Occasional,63.73,4.9,2341,100ml,Oily,Male,Bottle,Aloe Vera,True,UK
Super Bronzer,Huda Beauty,Cleanser,Occasional,139.34,4.2,418,200ml,Normal,Female,Compact,Hyaluronic Acid,True,Australia
Divine Foundation,Bobby Brown,Mascara,Occasional,132.98,1.7,1110,30ml,Dry,Male,Bottle,Shea Butter,True,Australia
Divine Eye Shadow,KVD Beauty,Eye Shadow,Occasional,100.55,3.2,3552,100ml,Dry,Female,Stick,Retinol,False,USA
Divine CC Cream,Tatcha,Powder,Weekly,55.35,4.8,9836,150ml,Normal,Unisex,Jar,Glycerin,False,Germany
Ultra Highlighter,Fenty Beauty,Face Mask,Daily,59.29,4.1,4265,250ml,Combination,Male,Stick,Hyaluronic Acid,True,Australia
Ultra Setting Spray,Charlotte Tilbury,Blush,Monthly,59.72,1.6,3906,100ml,Normal,Female,Bottle,Glycerin,True,Australia
Perfect Moisturizer,Huda Beauty,Foundation,Monthly,14.83,3.6,2831,50ml,Dry,Female,Stick,Hyaluronic Acid,False,Italy
Super Cleanser,Becca,Eye Shadow,Weekly,139.22,3.5,8580,150ml,Dry,Male,Jar,Vitamin C,True,South Korea
Ultra Primer,IT Cosmetics,Eye Shadow,Daily,96.78,1.8,6338,100ml,Dry,Male,Bottle,Salicylic Acid,False,Italy
Magic Blush,Pat McGrath Labs,Setting Spray,Weekly,80.95,4.2,9533,150ml,Combination,Unisex,Spray,Retinol,True,Australia
Ultra Mascara,Juvia’s Place,Powder,Weekly,73.16,3.0,1840,100ml,Oily,Female,Stick,Vitamin C,False,South Korea
Divine Contour,Patrick Ta,Highlighter,Daily,23.93,2.5,2855,100ml,Combination,Female,Spray,Aloe Vera,True,USA
Super Primer,Yves Saint Laurent,Lip Gloss,Daily,140.09,3.7,1418,150ml,Oily,Female,Compact,Retinol,True,Australia
Magic Blush,Farsali,Mascara,Daily,120.72,2.6,9027,50ml,Normal,Male,Jar,Aloe Vera,False,Japan
Ultra Face Mask,KVD Beauty,Face Oil,Weekly,76.2,4.5,5291,100ml,Oily,Unisex,Jar,Aloe Vera,True,France
Ultra Makeup Remover,Glossier,Eyeliner,Daily,103.95,3.4,7355,100ml,Sensitive,Female,Compact,Vitamin C,True,UK
Divine Serum,Patrick Ta,Powder,Occasional,134.74,1.1,6700,30ml,Dry,Unisex,Jar,Hyaluronic Acid,False,Australia
Super Lip Gloss,Make Up For Ever,BB Cream,Occasional,36.54,3.5,3958,250ml,Combination,Male,Jar,Aloe Vera,True,Italy
Divine Moisturizer,Danessa Myricks,Foundation,Monthly,12.24,2.6,7870,250ml,Sensitive,Unisex,Jar,Hyaluronic Acid,True,Germany
Perfect Concealer,Farsali,CC Cream,Daily,133.89,2.2,5023,30ml,Normal,Unisex,Jar,Retinol,False,Italy
Magic Face Mask,Patrick Ta,Eyeliner,Occasional,71.44,3.9,5316,150ml,Sensitive,Female,Spray,Hyaluronic Acid,False,South Korea
Magic Face Mask,Bite Beauty,Eyeliner,Occasional,96.29,3.6,2059,250ml,Combination,Male,Spray,Glycerin,True,France
